width,height,format,framerate,shape-size,x-coordinate, y-coordinate,shape,shape-color,fill-mode,x-copy_ coordinate, y-copy_coordinate,alpha,strict-mode,results
320,240,NV12,60/1,377, 47, 215, triangle,green, no-fill, 236, 196, 76, 0, FAIL
1280,720,NV12,50/1,321, 973, 219, rectangle,red, colour, 1069, 78, 69, 0, FAIL
1920,1080,NV12,30/1,203, 1466, 674, square,red, colour, 883, 561, 22, 1, FAIL
1280,720,NV12,50/1,221, 707, 527, rectangle,blue, copy, 676, 382, 10, 1, FAIL
640,480,NV12,50/1,178, 506, 216, circle,red, colour, 144, 406, 5, 1, FAIL
640,480,NV12,50/1,78, 211, 87, circle,blue, copy, 423, 163, 45, 1, PASS
1280,720,NV12,50/1,309, 1140, 15, rectangle,green, no-fill, 42, 314, 86, 0, FAIL
1280,720,NV12,25/1,91, 251, 554, rectangle,blue, copy, 987, 40, 90, 1, PASS
1280,720,NV12,30/1,421, 1144, 165, rectangle,green, no-fill, 271, 275, 48, 1, FAIL
1280,720,NV12,25/1,435, 179, 141, rectangle,blue, copy, 294, 369, 31, 1, FAIL
320,240,NV12,60/1,377, 47, 215, triangle,green, no-fill, 236, 196, 76, 0, FAIL
1280,720,NV12,50/1,321, 973, 219, rectangle,red, colour, 1069, 78, 69, 0, FAIL
1920,1080,NV12,30/1,203, 1466, 674, square,red, colour, 883, 561, 22, 1, FAIL
1280,720,NV12,50/1,221, 707, 527, rectangle,blue, copy, 676, 382, 10, 1, FAIL
640,480,NV12,50/1,178, 506, 216, circle,red, colour, 144, 406, 5, 1, FAIL
640,480,NV12,50/1,78, 211, 87, circle,blue, copy, 423, 163, 45, 1, PASS
1280,720,NV12,50/1,309, 1140, 15, rectangle,green, no-fill, 42, 314, 86, 0, FAIL
1280,720,NV12,25/1,91, 251, 554, rectangle,blue, copy, 987, 40, 90, 1, PASS
1280,720,NV12,30/1,421, 1144, 165, rectangle,green, no-fill, 271, 275, 48, 1, FAIL
1280,720,NV12,25/1,435, 179, 141, rectangle,blue, copy, 294, 369, 31, 1, FAIL
320,240,NV12,60/1,377, 47, 215, triangle,green, no-fill, 236, 196, 76, 0, FAIL
1280,720,NV12,50/1,321, 973, 219, rectangle,red, colour, 1069, 78, 69, 0, FAIL
1920,1080,NV12,30/1,203, 1466, 674, square,red, colour, 883, 561, 22, 1, FAIL
